Code variable,Déscription,Unités,Groupement temporel,Agrégation
pr,Mean daily precipitation flux,kg m-2 s-1,daily,time: mean within days
tasmax,Maximal daily temperature,K,daily,time: maximum within days
tasmin,Minimal daily temperature,K,daily,time: minimum within days
