Code variable,Déscription,Unités,Groupement temporel,Agrégation
tas,Near-Surface Daily Mean Air Temperature,degC,daily,
tasmax,Near-Surface Maximum Daily Air Temperature,degC,daily,
tasmin,Near-Surface Minimum Daily Air Temperature,degC,daily,
elev,elevation,m,invariant,
frommonth,from month,,invariant,
fromyear,from year,,invariant,
joined,Data is from multiple co-located stations,,invariant,
lat,latitude,degrees_north,invariant,
lon,longitude,degrees_east,invariant,
pct_miss,%Miss,,invariant,
prov,province,,invariant,
rcs,,,invariant,
tomonth,to month,,invariant,
toyear,to year,,invariant,
