Variable code,Description,Units,Temporal grouping,Aggregation
cdd_delta_1971_2000_p10,30-year climatological average of Maximum consecutive days with daily precipitation below 1 mm/day: abs. delta compared to 1971-2000.,days,30y average,time: mean time: sum over days
cdd_delta_1971_2000_p50,30-year climatological average of Maximum consecutive days with daily precipitation below 1 mm/day: abs. delta compared to 1971-2000.,days,30y average,time: mean time: sum over days
cdd_delta_1971_2000_p90,30-year climatological average of Maximum consecutive days with daily precipitation below 1 mm/day: abs. delta compared to 1971-2000.,days,30y average,time: mean time: sum over days
cdd_delta_1991_2020_p10,30-year climatological average of Maximum consecutive days with daily precipitation below 1 mm/day: abs. delta compared to 1991-2020.,days,30y average,time: mean time: sum over days
cdd_delta_1991_2020_p50,30-year climatological average of Maximum consecutive days with daily precipitation below 1 mm/day: abs. delta compared to 1991-2020.,days,30y average,time: mean time: sum over days
cdd_delta_1991_2020_p90,30-year climatological average of Maximum consecutive days with daily precipitation below 1 mm/day: abs. delta compared to 1991-2020.,days,30y average,time: mean time: sum over days
cdd_p10,30-year climatological average of Maximum consecutive days with daily precipitation below 1 mm/day.,days,30y average,time: mean time: sum over days
cdd_p50,30-year climatological average of Maximum consecutive days with daily precipitation below 1 mm/day.,days,30y average,time: mean time: sum over days
cdd_p90,30-year climatological average of Maximum consecutive days with daily precipitation below 1 mm/day.,days,30y average,time: mean time: sum over days
cddcold_18_delta_1971_2000_p10,30-year climatological average of Cumulative sum of temperature degrees for mean daily temperature above 18 degc: abs. delta compared to 1971-2000.,K days,30y average,tasmin: time: minimum tasmax: time: maximum time: mean within days time: sum over days
cddcold_18_delta_1971_2000_p50,30-year climatological average of Cumulative sum of temperature degrees for mean daily temperature above 18 degc: abs. delta compared to 1971-2000.,K days,30y average,tasmin: time: minimum tasmax: time: maximum time: mean within days time: sum over days
cddcold_18_delta_1971_2000_p90,30-year climatological average of Cumulative sum of temperature degrees for mean daily temperature above 18 degc: abs. delta compared to 1971-2000.,K days,30y average,tasmin: time: minimum tasmax: time: maximum time: mean within days time: sum over days
cddcold_18_delta_1991_2020_p10,30-year climatological average of Cumulative sum of temperature degrees for mean daily temperature above 18 degc: abs. delta compared to 1991-2020.,K days,30y average,tasmin: time: minimum tasmax: time: maximum time: mean within days time: sum over days
cddcold_18_delta_1991_2020_p50,30-year climatological average of Cumulative sum of temperature degrees for mean daily temperature above 18 degc: abs. delta compared to 1991-2020.,K days,30y average,tasmin: time: minimum tasmax: time: maximum time: mean within days time: sum over days
cddcold_18_delta_1991_2020_p90,30-year climatological average of Cumulative sum of temperature degrees for mean daily temperature above 18 degc: abs. delta compared to 1991-2020.,K days,30y average,tasmin: time: minimum tasmax: time: maximum time: mean within days time: sum over days
cddcold_18_p10,30-year climatological average of Cumulative sum of temperature degrees for mean daily temperature above 18 degc.,K days,30y average,tasmin: time: minimum tasmax: time: maximum time: mean within days time: sum over days
cddcold_18_p50,30-year climatological average of Cumulative sum of temperature degrees for mean daily temperature above 18 degc.,K days,30y average,tasmin: time: minimum tasmax: time: maximum time: mean within days time: sum over days
cddcold_18_p90,30-year climatological average of Cumulative sum of temperature degrees for mean daily temperature above 18 degc.,K days,30y average,tasmin: time: minimum tasmax: time: maximum time: mean within days time: sum over days
dlyfrzthw_tx0_tn-1_delta_1971_2000_p10,30-year climatological average of Number of days where maximum daily temperatures are above 0 degc and minimum daily temperatures are at or below -1 degc: abs. delta compared to 1971-2000.,days,30y average,tasmin: time: minimum tasmax: time: maximum
dlyfrzthw_tx0_tn-1_delta_1971_2000_p50,30-year climatological average of Number of days where maximum daily temperatures are above 0 degc and minimum daily temperatures are at or below -1 degc: abs. delta compared to 1971-2000.,days,30y average,tasmin: time: minimum tasmax: time: maximum
dlyfrzthw_tx0_tn-1_delta_1971_2000_p90,30-year climatological average of Number of days where maximum daily temperatures are above 0 degc and minimum daily temperatures are at or below -1 degc: abs. delta compared to 1971-2000.,days,30y average,tasmin: time: minimum tasmax: time: maximum
dlyfrzthw_tx0_tn-1_delta_1991_2020_p10,30-year climatological average of Number of days where maximum daily temperatures are above 0 degc and minimum daily temperatures are at or below -1 degc: abs. delta compared to 1991-2020.,days,30y average,tasmin: time: minimum tasmax: time: maximum
dlyfrzthw_tx0_tn-1_delta_1991_2020_p50,30-year climatological average of Number of days where maximum daily temperatures are above 0 degc and minimum daily temperatures are at or below -1 degc: abs. delta compared to 1991-2020.,days,30y average,tasmin: time: minimum tasmax: time: maximum
dlyfrzthw_tx0_tn-1_delta_1991_2020_p90,30-year climatological average of Number of days where maximum daily temperatures are above 0 degc and minimum daily temperatures are at or below -1 degc: abs. delta compared to 1991-2020.,days,30y average,tasmin: time: minimum tasmax: time: maximum
dlyfrzthw_tx0_tn-1_p10,30-year climatological average of Number of days where maximum daily temperatures are above 0 degc and minimum daily temperatures are at or below -1 degc.,days,30y average,tasmin: time: minimum tasmax: time: maximum
dlyfrzthw_tx0_tn-1_p50,30-year climatological average of Number of days where maximum daily temperatures are above 0 degc and minimum daily temperatures are at or below -1 degc.,days,30y average,tasmin: time: minimum tasmax: time: maximum
