Variable code,Description,Units,Temporal grouping,Aggregation
dlyfrzthw_tx0_tn-1_p90,30-year climatological average of Number of days where maximum daily temperatures are above 0 degc and minimum daily temperatures are at or below -1 degc.,days,30y average,tasmin: time: minimum tasmax: time: maximum
first_fall_frost_delta_1971_2000_p10,30-year climatological average of First day of year with a period of at least 1 days of minimum temperature below 0 degc: abs. delta compared to 1971-2000.,,30y average,time: minimum
first_fall_frost_delta_1971_2000_p50,30-year climatological average of First day of year with a period of at least 1 days of minimum temperature below 0 degc: abs. delta compared to 1971-2000.,,30y average,time: minimum
first_fall_frost_delta_1971_2000_p90,30-year climatological average of First day of year with a period of at least 1 days of minimum temperature below 0 degc: abs. delta compared to 1971-2000.,,30y average,time: minimum
first_fall_frost_delta_1991_2020_p10,30-year climatological average of First day of year with a period of at least 1 days of minimum temperature below 0 degc: abs. delta compared to 1991-2020.,,30y average,time: minimum
first_fall_frost_delta_1991_2020_p50,30-year climatological average of First day of year with a period of at least 1 days of minimum temperature below 0 degc: abs. delta compared to 1991-2020.,,30y average,time: minimum
first_fall_frost_delta_1991_2020_p90,30-year climatological average of First day of year with a period of at least 1 days of minimum temperature below 0 degc: abs. delta compared to 1991-2020.,,30y average,time: minimum
first_fall_frost_p10,30-year climatological average of First day of year with a period of at least 1 days of minimum temperature below 0 degc.,,30y average,time: minimum
first_fall_frost_p50,30-year climatological average of First day of year with a period of at least 1 days of minimum temperature below 0 degc.,,30y average,time: minimum
first_fall_frost_p90,30-year climatological average of First day of year with a period of at least 1 days of minimum temperature below 0 degc.,,30y average,time: minimum
first_snowfall_delta_1971_2000_p10,30 year mean First day of snow year (starting July 1st) when snowfall exceeded 1 mm/day: delta compared to 1971-2000.,dayofsnowyear,30y average,
first_snowfall_delta_1971_2000_p50,30 year mean First day of snow year (starting July 1st) when snowfall exceeded 1 mm/day: delta compared to 1971-2000.,dayofsnowyear,30y average,
first_snowfall_delta_1971_2000_p90,30 year mean First day of snow year (starting July 1st) when snowfall exceeded 1 mm/day: delta compared to 1971-2000.,dayofsnowyear,30y average,
first_snowfall_delta_1991_2020_p10,30 year mean First day of snow year (starting July 1st) when snowfall exceeded 1 mm/day: delta compared to 1991-2020.,dayofsnowyear,30y average,
first_snowfall_delta_1991_2020_p50,30 year mean First day of snow year (starting July 1st) when snowfall exceeded 1 mm/day: delta compared to 1991-2020.,dayofsnowyear,30y average,
first_snowfall_delta_1991_2020_p90,30 year mean First day of snow year (starting July 1st) when snowfall exceeded 1 mm/day: delta compared to 1991-2020.,dayofsnowyear,30y average,
first_snowfall_p10,30 year mean First day of snow year (starting July 1st) when snowfall exceeded 1 mm/day,dayofsnowyear,30y average,
first_snowfall_p50,30 year mean First day of snow year (starting July 1st) when snowfall exceeded 1 mm/day,dayofsnowyear,30y average,
first_snowfall_p90,30 year mean First day of snow year (starting July 1st) when snowfall exceeded 1 mm/day,dayofsnowyear,30y average,
frost_days_delta_1971_2000_p10,30-year climatological average of Number of days where the daily minimum temperature is below 0 degc: abs. delta compared to 1971-2000.,days,30y average,time: minimum time: sum over days
frost_days_delta_1971_2000_p50,30-year climatological average of Number of days where the daily minimum temperature is below 0 degc: abs. delta compared to 1971-2000.,days,30y average,time: minimum time: sum over days
frost_days_delta_1971_2000_p90,30-year climatological average of Number of days where the daily minimum temperature is below 0 degc: abs. delta compared to 1971-2000.,days,30y average,time: minimum time: sum over days
frost_days_delta_1991_2020_p10,30-year climatological average of Number of days where the daily minimum temperature is below 0 degc: abs. delta compared to 1991-2020.,days,30y average,time: minimum time: sum over days
frost_days_delta_1991_2020_p50,30-year climatological average of Number of days where the daily minimum temperature is below 0 degc: abs. delta compared to 1991-2020.,days,30y average,time: minimum time: sum over days
frost_days_delta_1991_2020_p90,30-year climatological average of Number of days where the daily minimum temperature is below 0 degc: abs. delta compared to 1991-2020.,days,30y average,time: minimum time: sum over days
frost_days_p10,30-year climatological average of Number of days where the daily minimum temperature is below 0 degc.,days,30y average,time: minimum time: sum over days
frost_days_p50,30-year climatological average of Number of days where the daily minimum temperature is below 0 degc.,days,30y average,time: minimum time: sum over days
frost_days_p90,30-year climatological average of Number of days where the daily minimum temperature is below 0 degc.,days,30y average,time: minimum time: sum over days
frost_free_season_delta_1971_2000_p10,30-year climatological average of Maximum number of consecutive days with minimum temperature at or above 0 degc: abs. delta compared to 1971-2000.,days,30y average,time: minimum time: maximum over days
frost_free_season_delta_1971_2000_p50,30-year climatological average of Maximum number of consecutive days with minimum temperature at or above 0 degc: abs. delta compared to 1971-2000.,days,30y average,time: minimum time: maximum over days
frost_free_season_delta_1971_2000_p90,30-year climatological average of Maximum number of consecutive days with minimum temperature at or above 0 degc: abs. delta compared to 1971-2000.,days,30y average,time: minimum time: maximum over days
frost_free_season_delta_1991_2020_p10,30-year climatological average of Maximum number of consecutive days with minimum temperature at or above 0 degc: abs. delta compared to 1991-2020.,days,30y average,time: minimum time: maximum over days
frost_free_season_delta_1991_2020_p50,30-year climatological average of Maximum number of consecutive days with minimum temperature at or above 0 degc: abs. delta compared to 1991-2020.,days,30y average,time: minimum time: maximum over days
frost_free_season_delta_1991_2020_p90,30-year climatological average of Maximum number of consecutive days with minimum temperature at or above 0 degc: abs. delta compared to 1991-2020.,days,30y average,time: minimum time: maximum over days
frost_free_season_p10,30-year climatological average of Maximum number of consecutive days with minimum temperature at or above 0 degc.,days,30y average,time: minimum time: maximum over days
frost_free_season_p50,30-year climatological average of Maximum number of consecutive days with minimum temperature at or above 0 degc.,days,30y average,time: minimum time: maximum over days
frost_free_season_p90,30-year climatological average of Maximum number of consecutive days with minimum temperature at or above 0 degc.,days,30y average,time: minimum time: maximum over days
gddgrow_0_delta_1971_2000_p10,30-year climatological average of Cumulative sum of temperature degrees for mean daily temperature above 0 degc: abs. delta compared to 1971-2000.,K days,30y average,tasmin: time: minimum tasmax: time: maximum time: mean within days time: sum over days
gddgrow_0_delta_1971_2000_p50,30-year climatological average of Cumulative sum of temperature degrees for mean daily temperature above 0 degc: abs. delta compared to 1971-2000.,K days,30y average,tasmin: time: minimum tasmax: time: maximum time: mean within days time: sum over days
gddgrow_0_delta_1971_2000_p90,30-year climatological average of Cumulative sum of temperature degrees for mean daily temperature above 0 degc: abs. delta compared to 1971-2000.,K days,30y average,tasmin: time: minimum tasmax: time: maximum time: mean within days time: sum over days
gddgrow_0_delta_1991_2020_p10,30-year climatological average of Cumulative sum of temperature degrees for mean daily temperature above 0 degc: abs. delta compared to 1991-2020.,K days,30y average,tasmin: time: minimum tasmax: time: maximum time: mean within days time: sum over days
gddgrow_0_delta_1991_2020_p50,30-year climatological average of Cumulative sum of temperature degrees for mean daily temperature above 0 degc: abs. delta compared to 1991-2020.,K days,30y average,tasmin: time: minimum tasmax: time: maximum time: mean within days time: sum over days
gddgrow_0_delta_1991_2020_p90,30-year climatological average of Cumulative sum of temperature degrees for mean daily temperature above 0 degc: abs. delta compared to 1991-2020.,K days,30y average,tasmin: time: minimum tasmax: time: maximum time: mean within days time: sum over days
gddgrow_0_p10,30-year climatological average of Cumulative sum of temperature degrees for mean daily temperature above 0 degc.,K days,30y average,tasmin: time: minimum tasmax: time: maximum time: mean within days time: sum over days
gddgrow_0_p50,30-year climatological average of Cumulative sum of temperature degrees for mean daily temperature above 0 degc.,K days,30y average,tasmin: time: minimum tasmax: time: maximum time: mean within days time: sum over days
gddgrow_0_p90,30-year climatological average of Cumulative sum of temperature degrees for mean daily temperature above 0 degc.,K days,30y average,tasmin: time: minimum tasmax: time: maximum time: mean within days time: sum over days
gddgrow_5_delta_1971_2000_p10,30-year climatological average of Cumulative sum of temperature degrees for mean daily temperature above 5 degc: abs. delta compared to 1971-2000.,K days,30y average,tasmin: time: minimum tasmax: time: maximum time: mean within days time: sum over days
gddgrow_5_delta_1971_2000_p50,30-year climatological average of Cumulative sum of temperature degrees for mean daily temperature above 5 degc: abs. delta compared to 1971-2000.,K days,30y average,tasmin: time: minimum tasmax: time: maximum time: mean within days time: sum over days
gddgrow_5_delta_1971_2000_p90,30-year climatological average of Cumulative sum of temperature degrees for mean daily temperature above 5 degc: abs. delta compared to 1971-2000.,K days,30y average,tasmin: time: minimum tasmax: time: maximum time: mean within days time: sum over days
gddgrow_5_delta_1991_2020_p10,30-year climatological average of Cumulative sum of temperature degrees for mean daily temperature above 5 degc: abs. delta compared to 1991-2020.,K days,30y average,tasmin: time: minimum tasmax: time: maximum time: mean within days time: sum over days
gddgrow_5_delta_1991_2020_p50,30-year climatological average of Cumulative sum of temperature degrees for mean daily temperature above 5 degc: abs. delta compared to 1991-2020.,K days,30y average,tasmin: time: minimum tasmax: time: maximum time: mean within days time: sum over days
gddgrow_5_delta_1991_2020_p90,30-year climatological average of Cumulative sum of temperature degrees for mean daily temperature above 5 degc: abs. delta compared to 1991-2020.,K days,30y average,tasmin: time: minimum tasmax: time: maximum time: mean within days time: sum over days
gddgrow_5_p10,30-year climatological average of Cumulative sum of temperature degrees for mean daily temperature above 5 degc.,K days,30y average,tasmin: time: minimum tasmax: time: maximum time: mean within days time: sum over days
gddgrow_5_p50,30-year climatological average of Cumulative sum of temperature degrees for mean daily temperature above 5 degc.,K days,30y average,tasmin: time: minimum tasmax: time: maximum time: mean within days time: sum over days
gddgrow_5_p90,30-year climatological average of Cumulative sum of temperature degrees for mean daily temperature above 5 degc.,K days,30y average,tasmin: time: minimum tasmax: time: maximum time: mean within days time: sum over days
hddheat_18_delta_1971_2000_p10,30-year climatological average of Cumulative sum of temperature degrees for mean daily temperature below 18 degc: abs. delta compared to 1971-2000.,K days,30y average,tasmin: time: minimum tasmax: time: maximum time: mean within days time: sum over days
hddheat_18_delta_1971_2000_p50,30-year climatological average of Cumulative sum of temperature degrees for mean daily temperature below 18 degc: abs. delta compared to 1971-2000.,K days,30y average,tasmin: time: minimum tasmax: time: maximum time: mean within days time: sum over days
hddheat_18_delta_1971_2000_p90,30-year climatological average of Cumulative sum of temperature degrees for mean daily temperature below 18 degc: abs. delta compared to 1971-2000.,K days,30y average,tasmin: time: minimum tasmax: time: maximum time: mean within days time: sum over days
hddheat_18_delta_1991_2020_p10,30-year climatological average of Cumulative sum of temperature degrees for mean daily temperature below 18 degc: abs. delta compared to 1991-2020.,K days,30y average,tasmin: time: minimum tasmax: time: maximum time: mean within days time: sum over days
hddheat_18_delta_1991_2020_p50,30-year climatological average of Cumulative sum of temperature degrees for mean daily temperature below 18 degc: abs. delta compared to 1991-2020.,K days,30y average,tasmin: time: minimum tasmax: time: maximum time: mean within days time: sum over days
hddheat_18_delta_1991_2020_p90,30-year climatological average of Cumulative sum of temperature degrees for mean daily temperature below 18 degc: abs. delta compared to 1991-2020.,K days,30y average,tasmin: time: minimum tasmax: time: maximum time: mean within days time: sum over days
hddheat_18_p10,30-year climatological average of Cumulative sum of temperature degrees for mean daily temperature below 18 degc.,K days,30y average,tasmin: time: minimum tasmax: time: maximum time: mean within days time: sum over days
hddheat_18_p50,30-year climatological average of Cumulative sum of temperature degrees for mean daily temperature below 18 degc.,K days,30y average,tasmin: time: minimum tasmax: time: maximum time: mean within days time: sum over days
hddheat_18_p90,30-year climatological average of Cumulative sum of temperature degrees for mean daily temperature below 18 degc.,K days,30y average,tasmin: time: minimum tasmax: time: maximum time: mean within days time: sum over days
ice_days_delta_1971_2000_p10,30-year climatological average of Number of days with maximum daily temperature below 0 degc: abs. delta compared to 1971-2000.,days,30y average,time: maximum time: sum over days
ice_days_delta_1971_2000_p50,30-year climatological average of Number of days with maximum daily temperature below 0 degc: abs. delta compared to 1971-2000.,days,30y average,time: maximum time: sum over days
ice_days_delta_1971_2000_p90,30-year climatological average of Number of days with maximum daily temperature below 0 degc: abs. delta compared to 1971-2000.,days,30y average,time: maximum time: sum over days
ice_days_delta_1991_2020_p10,30-year climatological average of Number of days with maximum daily temperature below 0 degc: abs. delta compared to 1991-2020.,days,30y average,time: maximum time: sum over days
ice_days_delta_1991_2020_p50,30-year climatological average of Number of days with maximum daily temperature below 0 degc: abs. delta compared to 1991-2020.,days,30y average,time: maximum time: sum over days
ice_days_delta_1991_2020_p90,30-year climatological average of Number of days with maximum daily temperature below 0 degc: abs. delta compared to 1991-2020.,days,30y average,time: maximum time: sum over days
ice_days_p10,30-year climatological average of Number of days with maximum daily temperature below 0 degc.,days,30y average,time: maximum time: sum over days
ice_days_p50,30-year climatological average of Number of days with maximum daily temperature below 0 degc.,days,30y average,time: maximum time: sum over days
ice_days_p90,30-year climatological average of Number of days with maximum daily temperature below 0 degc.,days,30y average,time: maximum time: sum over days
last_snowfall_delta_1971_2000_p10,30 year mean Last day of snow year (starting July 1st) when snowfall exceeded 1 mm/day: delta compared to 1971-2000.,dayofsnowyear,30y average,
last_snowfall_delta_1971_2000_p50,30 year mean Last day of snow year (starting July 1st) when snowfall exceeded 1 mm/day: delta compared to 1971-2000.,dayofsnowyear,30y average,
last_snowfall_delta_1971_2000_p90,30 year mean Last day of snow year (starting July 1st) when snowfall exceeded 1 mm/day: delta compared to 1971-2000.,dayofsnowyear,30y average,
last_snowfall_delta_1991_2020_p10,30 year mean Last day of snow year (starting July 1st) when snowfall exceeded 1 mm/day: delta compared to 1991-2020.,dayofsnowyear,30y average,
last_snowfall_delta_1991_2020_p50,30 year mean Last day of snow year (starting July 1st) when snowfall exceeded 1 mm/day: delta compared to 1991-2020.,dayofsnowyear,30y average,
last_snowfall_delta_1991_2020_p90,30 year mean Last day of snow year (starting July 1st) when snowfall exceeded 1 mm/day: delta compared to 1991-2020.,dayofsnowyear,30y average,
last_snowfall_p10,30 year mean Last day of snow year (starting July 1st) when snowfall exceeded 1 mm/day,dayofsnowyear,30y average,
last_snowfall_p50,30 year mean Last day of snow year (starting July 1st) when snowfall exceeded 1 mm/day,dayofsnowyear,30y average,
last_snowfall_p90,30 year mean Last day of snow year (starting July 1st) when snowfall exceeded 1 mm/day,dayofsnowyear,30y average,
last_spring_frost_delta_1971_2000_p10,30-year climatological average of Last day of minimum daily temperature below a threshold of 0 degc for at least 1 days before a given date (07-15): abs. delta compared to 1971-2000.,,30y average,time: minimum
last_spring_frost_delta_1971_2000_p50,30-year climatological average of Last day of minimum daily temperature below a threshold of 0 degc for at least 1 days before a given date (07-15): abs. delta compared to 1971-2000.,,30y average,time: minimum
last_spring_frost_delta_1971_2000_p90,30-year climatological average of Last day of minimum daily temperature below a threshold of 0 degc for at least 1 days before a given date (07-15): abs. delta compared to 1971-2000.,,30y average,time: minimum
last_spring_frost_delta_1991_2020_p10,30-year climatological average of Last day of minimum daily temperature below a threshold of 0 degc for at least 1 days before a given date (07-15): abs. delta compared to 1991-2020.,,30y average,time: minimum
last_spring_frost_delta_1991_2020_p50,30-year climatological average of Last day of minimum daily temperature below a threshold of 0 degc for at least 1 days before a given date (07-15): abs. delta compared to 1991-2020.,,30y average,time: minimum
last_spring_frost_delta_1991_2020_p90,30-year climatological average of Last day of minimum daily temperature below a threshold of 0 degc for at least 1 days before a given date (07-15): abs. delta compared to 1991-2020.,,30y average,time: minimum
last_spring_frost_p10,30-year climatological average of Last day of minimum daily temperature below a threshold of 0 degc for at least 1 days before a given date (07-15).,,30y average,time: minimum
last_spring_frost_p50,30-year climatological average of Last day of minimum daily temperature below a threshold of 0 degc for at least 1 days before a given date (07-15).,,30y average,time: minimum
last_spring_frost_p90,30-year climatological average of Last day of minimum daily temperature below a threshold of 0 degc for at least 1 days before a given date (07-15).,,30y average,time: minimum
nr_cdd_delta_1971_2000_p10,"30-year climatological average of Number of dry periods of 6 day(s) or more, during which the maximal precipitation on a window of 6 day(s) is below 1.0 mm: abs. delta compared to 1971-2000.",,30y average,time: mean
nr_cdd_delta_1971_2000_p50,"30-year climatological average of Number of dry periods of 6 day(s) or more, during which the maximal precipitation on a window of 6 day(s) is below 1.0 mm: abs. delta compared to 1971-2000.",,30y average,time: mean
nr_cdd_delta_1971_2000_p90,"30-year climatological average of Number of dry periods of 6 day(s) or more, during which the maximal precipitation on a window of 6 day(s) is below 1.0 mm: abs. delta compared to 1971-2000.",,30y average,time: mean
nr_cdd_delta_1991_2020_p10,"30-year climatological average of Number of dry periods of 6 day(s) or more, during which the maximal precipitation on a window of 6 day(s) is below 1.0 mm: abs. delta compared to 1991-2020.",,30y average,time: mean
nr_cdd_delta_1991_2020_p50,"30-year climatological average of Number of dry periods of 6 day(s) or more, during which the maximal precipitation on a window of 6 day(s) is below 1.0 mm: abs. delta compared to 1991-2020.",,30y average,time: mean
nr_cdd_delta_1991_2020_p90,"30-year climatological average of Number of dry periods of 6 day(s) or more, during which the maximal precipitation on a window of 6 day(s) is below 1.0 mm: abs. delta compared to 1991-2020.",,30y average,time: mean
nr_cdd_p10,"30-year climatological average of Number of dry periods of 6 day(s) or more, during which the maximal precipitation on a window of 6 day(s) is below 1.0 mm.",,30y average,time: mean
nr_cdd_p50,"30-year climatological average of Number of dry periods of 6 day(s) or more, during which the maximal precipitation on a window of 6 day(s) is below 1.0 mm.",,30y average,time: mean
nr_cdd_p90,"30-year climatological average of Number of dry periods of 6 day(s) or more, during which the maximal precipitation on a window of 6 day(s) is below 1.0 mm.",,30y average,time: mean
pr10mm_delta_1971_2000_p10,30-year climatological average of Number of days with daily precipitation at or above 10 mm/day: abs. delta compared to 1971-2000.,days,30y average,time: mean time: sum over days
pr10mm_delta_1971_2000_p50,30-year climatological average of Number of days with daily precipitation at or above 10 mm/day: abs. delta compared to 1971-2000.,days,30y average,time: mean time: sum over days
pr10mm_delta_1971_2000_p90,30-year climatological average of Number of days with daily precipitation at or above 10 mm/day: abs. delta compared to 1971-2000.,days,30y average,time: mean time: sum over days
pr10mm_delta_1991_2020_p10,30-year climatological average of Number of days with daily precipitation at or above 10 mm/day: abs. delta compared to 1991-2020.,days,30y average,time: mean time: sum over days
pr10mm_delta_1991_2020_p50,30-year climatological average of Number of days with daily precipitation at or above 10 mm/day: abs. delta compared to 1991-2020.,days,30y average,time: mean time: sum over days
pr10mm_delta_1991_2020_p90,30-year climatological average of Number of days with daily precipitation at or above 10 mm/day: abs. delta compared to 1991-2020.,days,30y average,time: mean time: sum over days
pr10mm_p10,30-year climatological average of Number of days with daily precipitation at or above 10 mm/day.,days,30y average,time: mean time: sum over days
pr10mm_p50,30-year climatological average of Number of days with daily precipitation at or above 10 mm/day.,days,30y average,time: mean time: sum over days
pr10mm_p90,30-year climatological average of Number of days with daily precipitation at or above 10 mm/day.,days,30y average,time: mean time: sum over days
pr1mm_delta_1971_2000_p10,30-year climatological average of Number of days with daily precipitation at or above 1.0 mm/day: abs. delta compared to 1971-2000.,days,30y average,time: mean time: sum over days
pr1mm_delta_1971_2000_p50,30-year climatological average of Number of days with daily precipitation at or above 1.0 mm/day: abs. delta compared to 1971-2000.,days,30y average,time: mean time: sum over days
pr1mm_delta_1971_2000_p90,30-year climatological average of Number of days with daily precipitation at or above 1.0 mm/day: abs. delta compared to 1971-2000.,days,30y average,time: mean time: sum over days
pr1mm_delta_1991_2020_p10,30-year climatological average of Number of days with daily precipitation at or above 1.0 mm/day: abs. delta compared to 1991-2020.,days,30y average,time: mean time: sum over days
pr1mm_delta_1991_2020_p50,30-year climatological average of Number of days with daily precipitation at or above 1.0 mm/day: abs. delta compared to 1991-2020.,days,30y average,time: mean time: sum over days
pr1mm_delta_1991_2020_p90,30-year climatological average of Number of days with daily precipitation at or above 1.0 mm/day: abs. delta compared to 1991-2020.,days,30y average,time: mean time: sum over days
pr1mm_p10,30-year climatological average of Number of days with daily precipitation at or above 1.0 mm/day.,days,30y average,time: mean time: sum over days
pr1mm_p50,30-year climatological average of Number of days with daily precipitation at or above 1.0 mm/day.,days,30y average,time: mean time: sum over days
pr1mm_p90,30-year climatological average of Number of days with daily precipitation at or above 1.0 mm/day.,days,30y average,time: mean time: sum over days
pr20mm_delta_1971_2000_p10,30-year climatological average of Number of days with daily precipitation at or above 20 mm/day: abs. delta compared to 1971-2000.,days,30y average,time: mean time: sum over days
pr20mm_delta_1971_2000_p50,30-year climatological average of Number of days with daily precipitation at or above 20 mm/day: abs. delta compared to 1971-2000.,days,30y average,time: mean time: sum over days
pr20mm_delta_1971_2000_p90,30-year climatological average of Number of days with daily precipitation at or above 20 mm/day: abs. delta compared to 1971-2000.,days,30y average,time: mean time: sum over days
pr20mm_delta_1991_2020_p10,30-year climatological average of Number of days with daily precipitation at or above 20 mm/day: abs. delta compared to 1991-2020.,days,30y average,time: mean time: sum over days
pr20mm_delta_1991_2020_p50,30-year climatological average of Number of days with daily precipitation at or above 20 mm/day: abs. delta compared to 1991-2020.,days,30y average,time: mean time: sum over days
pr20mm_delta_1991_2020_p90,30-year climatological average of Number of days with daily precipitation at or above 20 mm/day: abs. delta compared to 1991-2020.,days,30y average,time: mean time: sum over days
pr20mm_p10,30-year climatological average of Number of days with daily precipitation at or above 20 mm/day.,days,30y average,time: mean time: sum over days
pr20mm_p50,30-year climatological average of Number of days with daily precipitation at or above 20 mm/day.,days,30y average,time: mean time: sum over days
pr20mm_p90,30-year climatological average of Number of days with daily precipitation at or above 20 mm/day.,days,30y average,time: mean time: sum over days
prtot_delta_1971_2000_p10,30-year climatological average of Total accumulated precipitation: abs. delta compared to 1971-2000.,mm,30y average,time: mean time: sum over days
prtot_delta_1971_2000_p50,30-year climatological average of Total accumulated precipitation: abs. delta compared to 1971-2000.,mm,30y average,time: mean time: sum over days
prtot_delta_1971_2000_p90,30-year climatological average of Total accumulated precipitation: abs. delta compared to 1971-2000.,mm,30y average,time: mean time: sum over days
prtot_delta_1991_2020_p10,30-year climatological average of Total accumulated precipitation: abs. delta compared to 1991-2020.,mm,30y average,time: mean time: sum over days
prtot_delta_1991_2020_p50,30-year climatological average of Total accumulated precipitation: abs. delta compared to 1991-2020.,mm,30y average,time: mean time: sum over days
prtot_delta_1991_2020_p90,30-year climatological average of Total accumulated precipitation: abs. delta compared to 1991-2020.,mm,30y average,time: mean time: sum over days
prtot_p10,30-year climatological average of Total accumulated precipitation.,mm,30y average,time: mean time: sum over days
prtot_p50,30-year climatological average of Total accumulated precipitation.,mm,30y average,time: mean time: sum over days
prtot_p90,30-year climatological average of Total accumulated precipitation.,mm,30y average,time: mean time: sum over days
prx1day_delta_1971_2000_p10,30-year climatological average of Maximum 1-day total precipitation: abs. delta compared to 1971-2000.,mm/day,30y average,time: mean time: maximum over days
prx1day_delta_1971_2000_p50,30-year climatological average of Maximum 1-day total precipitation: abs. delta compared to 1971-2000.,mm/day,30y average,time: mean time: maximum over days
prx1day_delta_1971_2000_p90,30-year climatological average of Maximum 1-day total precipitation: abs. delta compared to 1971-2000.,mm/day,30y average,time: mean time: maximum over days
