Variable code,Description,Units,Temporal grouping,Aggregation
nr_cdd_delta_1991_2020,"30-year climatological average of Number of dry periods of 6 day(s) or more, during which the maximal precipitation on a window of 6 day(s) is below 1.0 mm: abs. delta compared to 1991-2020.",,30y average,time: mean
pr10mm,30-year climatological average of Number of days with daily precipitation at or above 10 mm/day.,days,30y average,time: mean time: sum over days
pr10mm_delta_1971_2000,30-year climatological average of Number of days with daily precipitation at or above 10 mm/day: abs. delta compared to 1971-2000.,days,30y average,time: mean time: sum over days
pr10mm_delta_1991_2020,30-year climatological average of Number of days with daily precipitation at or above 10 mm/day: abs. delta compared to 1991-2020.,days,30y average,time: mean time: sum over days
pr1mm,30-year climatological average of Number of days with daily precipitation at or above 1.0 mm/day.,days,30y average,time: mean time: sum over days
pr1mm_delta_1971_2000,30-year climatological average of Number of days with daily precipitation at or above 1.0 mm/day: abs. delta compared to 1971-2000.,days,30y average,time: mean time: sum over days
pr1mm_delta_1991_2020,30-year climatological average of Number of days with daily precipitation at or above 1.0 mm/day: abs. delta compared to 1991-2020.,days,30y average,time: mean time: sum over days
pr20mm,30-year climatological average of Number of days with daily precipitation at or above 20 mm/day.,days,30y average,time: mean time: sum over days
pr20mm_delta_1971_2000,30-year climatological average of Number of days with daily precipitation at or above 20 mm/day: abs. delta compared to 1971-2000.,days,30y average,time: mean time: sum over days
pr20mm_delta_1991_2020,30-year climatological average of Number of days with daily precipitation at or above 20 mm/day: abs. delta compared to 1991-2020.,days,30y average,time: mean time: sum over days
prtot,30-year climatological average of Total accumulated precipitation.,mm,30y average,time: mean time: sum over days
prtot_delta_1971_2000,30-year climatological average of Total accumulated precipitation: abs. delta compared to 1971-2000.,mm,30y average,time: mean time: sum over days
prtot_delta_1991_2020,30-year climatological average of Total accumulated precipitation: abs. delta compared to 1991-2020.,mm,30y average,time: mean time: sum over days
prx1day,30-year climatological average of Maximum 1-day total precipitation.,mm/day,30y average,time: mean time: maximum over days
prx1day_delta_1971_2000,30-year climatological average of Maximum 1-day total precipitation: abs. delta compared to 1971-2000.,mm/day,30y average,time: mean time: maximum over days
prx1day_delta_1991_2020,30-year climatological average of Maximum 1-day total precipitation: abs. delta compared to 1991-2020.,mm/day,30y average,time: mean time: maximum over days
prx5day,30-year climatological average of Maximum 5-day total precipitation amount.,mm,30y average,time: mean time: maximum over days
prx5day_delta_1971_2000,30-year climatological average of Maximum 5-day total precipitation amount: abs. delta compared to 1971-2000.,mm,30y average,time: mean time: maximum over days
prx5day_delta_1991_2020,30-year climatological average of Maximum 5-day total precipitation amount: abs. delta compared to 1991-2020.,mm,30y average,time: mean time: maximum over days
ratot,30 year mean Total accumulated liquid precipitation,mm,30y average, time: sum over days
ratot_delta_1971_2000,30 year mean Total accumulated liquid precipitation: delta compared to 1971-2000.,mm,30y average, time: sum over days
ratot_delta_1991_2020,30 year mean Total accumulated liquid precipitation: delta compared to 1991-2020.,mm,30y average, time: sum over days
rax1day,30 year mean Total accumulated liquid precipitation,mm,30y average, time: maximum over days
rax1day_delta_1971_2000,30 year mean Total accumulated liquid precipitation: delta compared to 1971-2000.,mm,30y average, time: maximum over days
rax1day_delta_1991_2020,30 year mean Total accumulated liquid precipitation: delta compared to 1991-2020.,mm,30y average, time: maximum over days
sn10mm,30 year mean Number of days with snowfall at or above 10.0 mm/day,days,30y average, time: sum over days
sn10mm_delta_1971_2000,30 year mean Number of days with snowfall at or above 10.0 mm/day: delta compared to 1971-2000.,days,30y average, time: sum over days
sn10mm_delta_1991_2020,30 year mean Number of days with snowfall at or above 10.0 mm/day: delta compared to 1991-2020.,days,30y average, time: sum over days
sn2mm,30 year mean Number of days with snowfall at or above 2.0 mm/day,days,30y average, time: sum over days
sn2mm_delta_1971_2000,30 year mean Number of days with snowfall at or above 2.0 mm/day: delta compared to 1971-2000.,days,30y average, time: sum over days
sn2mm_delta_1991_2020,30 year mean Number of days with snowfall at or above 2.0 mm/day: delta compared to 1991-2020.,days,30y average, time: sum over days
snowfall_season_length,30 year mean Number of days between first and last days (inclusive) when snowfall is above 1 mm/day,days,30y average,
snowfall_season_length_delta_1971_2000,30 year mean Number of days between first and last days (inclusive) when snowfall is above 1 mm/day: delta compared to 1971-2000.,days,30y average,
snowfall_season_length_delta_1991_2020,30 year mean Number of days between first and last days (inclusive) when snowfall is above 1 mm/day: delta compared to 1991-2020.,days,30y average,
sntot,30 year mean Total accumulated solid precipitation,mm,30y average, time: sum over days
sntot_delta_1971_2000,30 year mean Total accumulated solid precipitation: delta compared to 1971-2000.,mm,30y average, time: sum over days
sntot_delta_1991_2020,30 year mean Total accumulated solid precipitation: delta compared to 1991-2020.,mm,30y average, time: sum over days
snx1day,30 year mean Maximum 1-day solid precipitation amount,mm,30y average, time: maximum over days
snx1day_delta_1971_2000,30 year mean Maximum 1-day solid precipitation amount: delta compared to 1971-2000.,mm,30y average, time: maximum over days
snx1day_delta_1991_2020,30 year mean Maximum 1-day solid precipitation amount: delta compared to 1991-2020.,mm,30y average, time: maximum over days
tg_mean,30-year climatological average of Mean daily mean temperature.,K,30y average,tasmin: time: minimum tasmax: time: maximum time: mean within days time: mean over days
tg_mean_delta_1971_2000,30-year climatological average of Mean daily mean temperature: abs. delta compared to 1971-2000.,K,30y average,tasmin: time: minimum tasmax: time: maximum time: mean within days time: mean over days
tg_mean_delta_1991_2020,30-year climatological average of Mean daily mean temperature: abs. delta compared to 1991-2020.,K,30y average,tasmin: time: minimum tasmax: time: maximum time: mean within days time: mean over days
tn_mean,30-year climatological average of Mean daily minimum temperature.,K,30y average,time: minimum time: mean over days
tn_mean_delta_1971_2000,30-year climatological average of Mean daily minimum temperature: abs. delta compared to 1971-2000.,K,30y average,time: minimum time: mean over days
tn_mean_delta_1991_2020,30-year climatological average of Mean daily minimum temperature: abs. delta compared to 1991-2020.,K,30y average,time: minimum time: mean over days
tn_min,30-year climatological average of Minimum daily minimum temperature.,K,30y average,time: minimum time: minimum over days
tn_min_delta_1971_2000,30-year climatological average of Minimum daily minimum temperature: abs. delta compared to 1971-2000.,K,30y average,time: minimum time: minimum over days
tn_min_delta_1991_2020,30-year climatological average of Minimum daily minimum temperature: abs. delta compared to 1991-2020.,K,30y average,time: minimum time: minimum over days
tnlt_m15,30-year climatological average of The number of days with minimum temperature below -15 degc.,days,30y average,time: minimum time: sum over days
tnlt_m15_delta_1971_2000,30-year climatological average of The number of days with minimum temperature below -15 degc: abs. delta compared to 1971-2000.,days,30y average,time: minimum time: sum over days
tnlt_m15_delta_1991_2020,30-year climatological average of The number of days with minimum temperature below -15 degc: abs. delta compared to 1991-2020.,days,30y average,time: minimum time: sum over days
tnlt_m25,30-year climatological average of The number of days with minimum temperature below -25 degc.,days,30y average,time: minimum time: sum over days
tnlt_m25_delta_1971_2000,30-year climatological average of The number of days with minimum temperature below -25 degc: abs. delta compared to 1971-2000.,days,30y average,time: minimum time: sum over days
tnlt_m25_delta_1991_2020,30-year climatological average of The number of days with minimum temperature below -25 degc: abs. delta compared to 1991-2020.,days,30y average,time: minimum time: sum over days
tr_18,30-year climatological average of Number of days with minimum daily temperature above 18 degc.,days,30y average,time: minimum time: sum over days
tr_18_delta_1971_2000,30-year climatological average of Number of days with minimum daily temperature above 18 degc: abs. delta compared to 1971-2000.,days,30y average,time: minimum time: sum over days
tr_18_delta_1991_2020,30-year climatological average of Number of days with minimum daily temperature above 18 degc: abs. delta compared to 1991-2020.,days,30y average,time: minimum time: sum over days
tr_20,30-year climatological average of Number of days with minimum daily temperature above 20 degc.,days,30y average,time: minimum time: sum over days
tr_20_delta_1971_2000,30-year climatological average of Number of days with minimum daily temperature above 20 degc: abs. delta compared to 1971-2000.,days,30y average,time: minimum time: sum over days
tr_20_delta_1991_2020,30-year climatological average of Number of days with minimum daily temperature above 20 degc: abs. delta compared to 1991-2020.,days,30y average,time: minimum time: sum over days
tr_22,30-year climatological average of Number of days with minimum daily temperature above 22 degc.,days,30y average,time: minimum time: sum over days
