Variable code,Description,Units,Temporal grouping,Aggregation
pr,Precipitation,kg m-2 s-1,hourly,time: mean (interval: 1 hour)
tas,2 metre temperature,K,hourly,time: point
sftlf,Land Area Fraction,%,invariant,area: mean
