Code variable,Déscription,Unités,Groupement temporel,Agrégation
cdd,Maximum consecutive days with daily precipitation below 1 mm/day,days,annual,time: sum time: sum over days
cddcold_18,Cumulative sum of temperature degrees for mean daily temperature above 18 degc,K days,annual,tasmin: time: min tasmax: time: max time: mean within days time: sum over days
dlyfrzthw_tx0_tn-1,Number of days where maximum daily temperatures are above 0 degc and minimum daily temperatures are at or below -1 degc,days,annual,tasmin: time: min tasmax: time: max
first_fall_frost,First day of year with a period of at least 1 days of minimum temperature below 0 degc,,annual,time: min
frost_days,Number of days where the daily minimum temperature is below 0 degc,days,annual,time: min time: sum over days
frost_free_season,Maximum number of consecutive days with minimum temperature at or above 0 degc,days,annual,time: min time: maximum over days
gddgrow_5,Cumulative sum of temperature degrees for mean daily temperature above 5 degc,K days,annual,tasmin: time: min tasmax: time: max time: mean within days time: sum over days
hddheat_18,Cumulative sum of temperature degrees for mean daily temperature below 18 degc,K days,annual,tasmin: time: min tasmax: time: max time: mean within days time: sum over days
ice_days,Number of days with maximum daily temperature below 0 degc,days,annual,time: max time: sum over days
last_spring_frost,Last day of minimum daily temperature below a threshold of 0 degc for at least 1 days before a given date (07-15),,annual,time: min
first_snowfall,First day of snow year (starting July 1st) when snowfall exceeded 1 mm/day,dayofsnowyear,annual-julyjune,
last_snowfall,Last day of snow year (starting July 1st) when snowfall exceeded 1 mm/day,dayofsnowyear,annual-julyjune,
snowfall_season_length,Number of days between first and last days (inclusive) when snowfall is above 1 mm/day,days,annual-julyjune,
gddgrow_0,Cumulative sum of temperature degrees for mean daily temperature above 0 degc,K days,annual; monthly,tasmin: time: min tasmax: time: max time: mean within days time: sum over days
nr_cdd,"Number of dry periods of 6 day(s) or more, during which the maximal precipitation on a window of 6 day(s) is below 1.0 mm.",,annual; monthly,time: sum
prx5day,Maximum 5-day total precipitation amount,mm,annual; monthly,time: sum time: maximum over days
rx5day,Maximum 5-day total precipitation amount,mm,annual; monthly,time: sum time: maximum over days
tn_min,Minimum daily minimum temperature,K,annual; monthly,time: min time: minimum over days
tnlt_m15,The number of days with minimum temperature below -15 degc,days,annual; monthly,time: min time: sum over days
tnlt_m25,The number of days with minimum temperature below -25 degc,days,annual; monthly,time: min time: sum over days
tr_18,Number of days with minimum daily temperature above 18 degc,days,annual; monthly,time: min time: sum over days
tr_20,Number of days with minimum daily temperature above 20 degc,days,annual; monthly,time: min time: sum over days
tr_22,Number of days with minimum daily temperature above 22 degc,days,annual; monthly,time: min time: sum over days
tx_max,Maximum daily maximum temperature,K,annual; monthly,time: max time: maximum over days
txgt_25,The number of days with maximum temperature above 25 degc,days,annual; monthly,time: max time: sum over days
txgt_27,The number of days with maximum temperature above 27 degc,days,annual; monthly,time: max time: sum over days
txgt_29,The number of days with maximum temperature above 29 degc,days,annual; monthly,time: max time: sum over days
txgt_30,The number of days with maximum temperature above 30 degc,days,annual; monthly,time: max time: sum over days
txgt_32,The number of days with maximum temperature above 32 degc,days,annual; monthly,time: max time: sum over days
pr10mm,Number of days with daily precipitation at or above 10 mm/day,days,annual; seasonal; monthly,time: sum time: sum over days
pr1mm,Number of days with daily precipitation at or above 1.0 mm/day,days,annual; seasonal; monthly,time: sum time: sum over days
pr20mm,Number of days with daily precipitation at or above 20 mm/day,days,annual; seasonal; monthly,time: sum time: sum over days
prcptot,Total accumulated precipitation,mm,annual; seasonal; monthly,time: sum time: sum over days
prtot,Total accumulated precipitation,mm,annual; seasonal; monthly,time: sum time: sum over days
prx1day,Maximum 1-day total precipitation,mm/day,annual; seasonal; monthly,time: sum time: maximum over days
r10mm,Number of days with daily precipitation at or above 10 mm/day,days,annual; seasonal; monthly,time: sum time: sum over days
r1mm,Number of days with daily precipitation at or above 1.0 mm/day,days,annual; seasonal; monthly,time: sum time: sum over days
r20mm,Number of days with daily precipitation at or above 20 mm/day,days,annual; seasonal; monthly,time: sum time: sum over days
ratot,Total accumulated liquid precipitation,mm,annual; seasonal; monthly, time: sum over days
rax1day,Maximum 1-day liquid precipitation amount,mm,annual; seasonal; monthly, time: maximum over days
rx1day,Maximum 1-day total precipitation,mm/day,annual; seasonal; monthly,time: sum time: maximum over days
sn10mm,Number of days with snowfall at or above 10.0 mm/day,days,annual; seasonal; monthly, time: sum over days
sn2mm,Number of days with snowfall at or above 2.0 mm/day,days,annual; seasonal; monthly, time: sum over days
sntot,Total accumulated solid precipitation,mm,annual; seasonal; monthly, time: sum over days
snx1day,Maximum 1-day solid precipitation amount,mm,annual; seasonal; monthly, time: maximum over days
tg_mean,Mean daily mean temperature,K,annual; seasonal; monthly,tasmin: time: min tasmax: time: max time: mean within days time: mean over days
tn_mean,Mean daily minimum temperature,K,annual; seasonal; monthly,time: min time: mean over days
tx_mean,Mean daily maximum temperature,K,annual; seasonal; monthly,time: max time: mean over days
