Variable code,Description,Units,Temporal grouping,Aggregation
cape,Convective Available Potential Energy,J kg-1,monthly,area: time: mean
capemax,Daily Maximum Convective Available Potential Energy,J kg-1,monthly,area: mean time: maximum within days time: mean over days
clt,Total Cloud Cover Percentage,%,monthly,area: time: mean
clwvi,Condensed Water Path,kg m-2,monthly,area: time: mean
evspsbl,Evaporation Including Sublimation and Transpiration,kg m-2 s-1,monthly,area: time: mean
hfls,Surface Upward Latent Heat Flux,W m-2,monthly,area: time: mean
hfss,Surface Upward Sensible Heat Flux,W m-2,monthly,area: time: mean
hurs,Near-Surface Relative Humidity,%,monthly,area: time: mean
hursmin,Daily minimum Near-Surface Relative humidity,%,monthly,area: mean time: minimum
hus1000,Specific Humidity at 1000hPa,1,monthly,area: time: mean
hus250,Specific Humidity at 250hPa,1,monthly,area: time: mean
hus500,Specific Humidity at 500hPa,1,monthly,area: time: mean
hus600,Specific Humidity at 600hPa,1,monthly,area: time: mean
hus700,Specific Humidity at 700hPa,1,monthly,area: time: mean
hus850,Specific Humidity at 850hPa,1,monthly,area: time: mean
hus925,Specific Humidity at 925hPa,1,monthly,area: time: mean
huss,Near-Surface Specific Humidity,1,monthly,area: time: mean
mrfso,Soil Frozen Water Content,kg m-2,monthly,area: mean where land time: mean
mrfsos,Frozen Water Content in Upper Portion of Soil Column,kg m-2,monthly,area: mean where land time: mean
mrro,Total Runoff,kg m-2 s-1,monthly,area: mean where land time: mean
mrros,Surface Runoff,kg m-2 s-1,monthly,area: mean where land time: mean
mrsfl,Frozen Water Content of Soil Layer,kg m-2,monthly,area: mean where land time: mean
mrso,Total Soil Moisture Content,kg m-2,monthly,area: mean where land time: mean
mrsol,Total Water Content of Soil Layer,kg m-2,monthly,area: mean where land time: mean
mrsos,Moisture in Upper Portion of Soil Column,kg m-2,monthly,area: mean where land time: mean
pr,Precipitation,kg m-2 s-1,monthly,area: time: mean
prc,Convective Precipitation,kg m-2 s-1,monthly,area: time: mean
prfr,Freezing rain Flux,kg m-2 s-1,monthly,area: time: mean
prra,Rainfall Flux,kg m-2 s-1,monthly,area: time: mean
prsn,Snowfall Flux,kg m-2 s-1,monthly,area: time: mean
prw,Water Vapor Path,kg m-2,monthly,area: time: mean
ps,Surface Air Pressure,Pa,monthly,area: time: mean
psl,Sea Level Pressure,Pa,monthly,area: time: mean
rlds,Surface Downwelling Longwave Radiation,W m-2,monthly,area: time: mean
rlus,Surface Upwelling Longwave Radiation,W m-2,monthly,area: time: mean
rlut,TOA Outgoing Longwave Radiation,W m-2,monthly,area: time: mean
rsds,Surface Downwelling Shortwave Radiation,W m-2,monthly,area: time: mean
rsdt,TOA Incident Shortwave Radiation,W m-2,monthly,area: time: mean
rsus,Surface Upwelling Shortwave Radiation,W m-2,monthly,area: time: mean
sfcWind,Near-Surface Wind Speed,m s-1,monthly,area: time: mean
sfcWindmax,Daily Maximum Near-Surface Wind Speed,m s-1,monthly,area: mean time: maximum within days time: mean over days
siconca,Sea-Ice Area Percentage (Atmospheric Grid),%,monthly,area: time: mean
snc,Snow Area Percentage,%,monthly,area: time: mean
snd,Snow Depth,m,monthly,area: mean where land time: mean
snm,Surface Snow Melt,kg m-2 s-1,monthly,area: mean where land time: mean
snw,Surface Snow Amount,kg m-2,monthly,area: mean where land time: mean
ta1000,Air Temperature at 1000hPa,K,monthly,area: time: mean
ta250,Air Temperature at 250hPa,K,monthly,area: time: mean
ta500,Air Temperature at 500hPa,K,monthly,area: time: mean
ta600,Air Temperature at 600hPa,K,monthly,area: time: mean
ta700,Air Temperature at 700hPa,K,monthly,area: time: mean
ta850,Air Temperature at 850hPa,K,monthly,area: time: mean
ta925,Air Temperature at 925hPa,K,monthly,area: time: mean
tas,Near-Surface Air Temperature,K,monthly,area: time: mean
tasmax,Daily Maximum Near-Surface Air Temperature,K,monthly,area: mean time: maximum within days time: mean over days
tasmin,Daily Minimum Near-Surface Air Temperature,K,monthly,area: mean time: minimum within days time: mean over days
ts,Surface Temperature,K,monthly,area: time: mean
tsl,Temperature of Soil,K,monthly,area: mean where land time: mean
ua1000,Eastward Wind at 1000hPa,m s-1,monthly,area: time: mean
ua250,Eastward Wind at 250hPa,m s-1,monthly,area: time: mean
ua500,Eastward Wind at 500hPa,m s-1,monthly,area: time: mean
ua600,Eastward Wind at 600hPa,m s-1,monthly,area: time: mean
ua700,Eastward Wind at 700hPa,m s-1,monthly,area: time: mean
ua850,Eastward Wind at 850hPa,m s-1,monthly,area: time: mean
ua925,Eastward Wind at 925hPa,m s-1,monthly,area: time: mean
uas,Eastward Near-Surface Wind,m s-1,monthly,area: time: mean
va1000,Northward Wind at 1000hPa,m s-1,monthly,area: time: mean
va250,Northward Wind at 250hPa,m s-1,monthly,area: time: mean
va500,Northward Wind at 500hPa,m s-1,monthly,area: time: mean
va600,Northward Wind at 600hPa,m s-1,monthly,area: time: mean
va700,Northward Wind at 700hPa,m s-1,monthly,area: time: mean
va850,Northward Wind at 850hPa,m s-1,monthly,area: time: mean
va925,Northward Wind at 925hPa,m s-1,monthly,area: time: mean
vas,Northward Near-Surface Wind,m s-1,monthly,area: time: mean
